mach;aoa;cl;cm;fidelity
0.7;0.0;0.22206958830223372;-1.4435852991410562e-05;low
0.7;0.1666666666666666;0.24836858569630232;4.219837660099927e-06;low
0.7;0.3333333333333333;0.2754820580283269;-8.271854042997382e-07;low
0.7;0.5;0.2970209584340964;9.484166653681101e-08;low
0.7;0.6666666666666666;0.3183543003730397;9.272212607882577e-10;low
0.7;0.8333333333333333;0.34055229360206457;1.2822116448022245e-07;low
0.7;1.0;0.36291772862354577;-8.747573518022228e-07;low
0.7;1.1666666666666663;0.3843296862439399;3.5285055440386755e-06;low
0.7;1.3333333333333333;0.4053533353813662;-8.440457251413898e-06;low
0.7;1.5;0.4272932679113939;9.19453369743912e-06;low
0.7;1.6666666666666663;0.4490037303896667;9.745937464008292e-05;low
0.7;1.8333333333333333;0.4703394996381381;-0.0010958075788296;low
0.7;2.0;0.4874791145872293;0.0049980109585716;low
0.7;2.1666666666666665;0.5049776771690919;0.0110859191954345;low
0.7;2.333333333333333;0.5253104024674926;0.0098947395513644;low
0.7;2.5;0.5409478663743893;0.0099828654922479;low
0.7;2.6666666666666665;0.5562552316391228;0.0100004725257674;low
0.7;2.833333333333333;0.5758250474666766;0.0099885219082522;low
0.7;3.0;0.5939383486080395;0.0099929208910296;low
0.7;3.1666666666666665;0.6092596962160169;0.0099919113570062;low
0.7;3.333333333333333;0.624386230193321;0.0099920527730083;low
0.7;3.5;0.6336867658922645;0.0099920317961629;low
0.7;3.6666666666666665;0.6487322099667113;0.0099921955425631;low
0.7;3.833333333333333;0.661199634157994;0.0099912717344639;low
0.7;4.0;0.6709160823386285;0.0099946937450325;low
0.7058333333333333;0.0;0.22040450833521083;0.0018163302965872;low
0.7058333333333333;0.1666666666666666;0.24611900997544034;0.0018322519243085;low
0.7058333333333333;0.3333333333333333;0.2725250815342773;0.001829308395577;low
0.7058333333333333;0.5;0.2952592247394211;0.0018263657890353;low
0.7058333333333333;0.6666666666666666;0.3166427056733136;0.0018236864952889;low
0.7058333333333333;0.8333333333333333;0.34029658411282393;0.001905624516183;low
0.7058333333333333;1.0;0.3635750384175794;0.0012995985933842;low
0.7058333333333333;1.1666666666666663;0.3871013901552246;0.0009534537287031;low
0.7058333333333333;1.3333333333333333;0.41103791320271504;0.0011616809133456;low
0.7058333333333333;1.5;0.43406914228655574;0.0011025252001889;low
0.7058333333333333;1.6666666666666663;0.4562115021728306;0.0004390395107918;low
0.7058333333333333;1.8333333333333333;0.47775089555526407;-0.0005837567410364;low
0.7058333333333333;2.0;0.4962387592669039;0.0041488413158052;low
0.7058333333333333;2.1666666666666665;0.513778408319647;0.008415915023116;low
0.7058333333333333;2.333333333333333;0.5322300842994073;0.0068955706936388;low
0.7058333333333333;2.5;0.5483899664621337;0.0071292074024261;low
0.7058333333333333;2.6666666666666665;0.5615838555599377;0.0065105285498499;low
0.7058333333333333;2.833333333333333;0.5790992414988487;0.0058071444358415;low
0.7058333333333333;3.0;0.5956189119451163;0.0051477654192313;low
0.7058333333333333;3.1666666666666665;0.6086440418916751;0.0047371255704385;low
0.7058333333333333;3.333333333333333;0.6206831980178734;0.0047478985770025;low
0.7058333333333333;3.5;0.6288093975713382;0.0040827600073116;low
0.7058333333333333;3.6666666666666665;0.6409532828164521;0.0033750958448149;low
0.7058333333333333;3.833333333333333;0.6505830389218712;0.0027259902349675;low
0.7058333333333333;4.0;0.6587604328902296;0.0018781580769839;low
0.7116666666666667;0.0;0.21872034984494354;0.0034716151449994;low
0.7116666666666667;0.1666666666666666;0.24394200083416887;0.0034849506430165;low
0.7116666666666667;0.3333333333333333;0.2697530344866076;0.0034837097061397;low
0.7116666666666667;0.5;0.29356109867167995;0.0034778966339172;low
