Model Name,cl ERR%,cl STD%,cm ERR%,cm STD%,ERR_TOT%,STD_TOT%
BNN_LF,16.14,0.42,42.76,0.36,32.317319195240636,0.4056132518425109
BNN_MF,8.57,3.66,8.56,1.99,8.566920649494536,2.9617731984302407
BNN_HF,6.46,4.10,3.15,2.21,5.083245308220518,3.328037784428026
BNN_TL_MF,10.90,0.44,10.16,0.23,10.539879238955272,0.3523469998692301
BNN_TL_HF,4.84,0.46,3.94,0.42,4.412141949582401,0.44353329917440365
COKriging,5.25,3.03,6.23,9.63,5.7617615923291545,7.205142730229888
